


################################################################################
################################################################################
			Nova Captura
2017-10-04 14:57:04.203666
2017-10-04 14:57:04.238668
2017-10-04 14:57:04.271670
2017-10-04 14:57:04.304672
2017-10-04 14:57:04.338674
2017-10-04 14:57:04.371676
2017-10-04 14:57:04.405678
2017-10-04 14:57:04.438680
2017-10-04 14:57:04.470682
2017-10-04 14:57:04.504684
2017-10-04 14:57:04.537685
2017-10-04 14:57:04.570687
2017-10-04 14:57:04.604689
2017-10-04 14:57:04.638691
2017-10-04 14:57:04.670693
2017-10-04 14:57:04.704695
2017-10-04 14:57:04.738697
2017-10-04 14:57:04.771699
2017-10-04 14:57:04.805701
2017-10-04 14:57:04.839703
2017-10-04 14:57:04.871704
2017-10-04 14:57:04.904706
2017-10-04 14:57:04.939708
2017-10-04 14:57:04.971710
2017-10-04 14:57:05.005712
2017-10-04 14:57:05.039714
2017-10-04 14:57:05.071716
2017-10-04 14:57:05.110718
2017-10-04 14:57:05.137720
2017-10-04 14:57:05.171722
2017-10-04 14:57:05.204724
2017-10-04 14:57:05.237725
2017-10-04 14:57:05.307729
2017-10-04 14:57:05.313730
2017-10-04 14:57:05.338731
2017-10-04 14:57:05.380734
2017-10-04 14:57:05.405735
2017-10-04 14:57:05.439737
2017-10-04 14:57:05.472739
2017-10-04 14:57:05.505741
2017-10-04 14:57:05.539743
2017-10-04 14:57:05.572745
2017-10-04 14:57:05.607747
2017-10-04 14:57:05.639748
2017-10-04 14:57:05.672750
2017-10-04 14:57:05.705752
2017-10-04 14:57:05.738754
2017-10-04 14:57:05.771756
2017-10-04 14:57:05.810758
2017-10-04 14:57:05.839760
2017-10-04 14:57:05.872762
2017-10-04 14:57:05.907764
2017-10-04 14:57:05.939766
2017-10-04 14:57:05.972767
2017-10-04 14:57:06.006769
2017-10-04 14:57:06.039771
2017-10-04 14:57:06.072773
2017-10-04 14:57:06.107775
2017-10-04 14:57:06.139777
2017-10-04 14:57:06.173779
2017-10-04 14:57:06.207781
2017-10-04 14:57:06.240783
2017-10-04 14:57:06.274785
2017-10-04 14:57:06.309787
2017-10-04 14:57:06.340789
2017-10-04 14:57:06.374790
2017-10-04 14:57:06.407792
2017-10-04 14:57:06.440794
2017-10-04 14:57:06.474796
2017-10-04 14:57:06.508798
2017-10-04 14:57:06.540800
2017-10-04 14:57:06.574802
2017-10-04 14:57:06.606804
2017-10-04 14:57:06.639806
2017-10-04 14:57:06.672808
2017-10-04 14:57:06.706809
2017-10-04 14:57:06.739811
2017-10-04 14:57:06.773813
2017-10-04 14:57:06.807815
2017-10-04 14:57:06.839817
2017-10-04 14:57:06.873819
2017-10-04 14:57:06.906821
2017-10-04 14:57:06.939823
2017-10-04 14:57:06.974825
2017-10-04 14:57:07.007827
2017-10-04 14:57:07.039829
2017-10-04 14:57:07.074831
2017-10-04 14:57:07.107832
2017-10-04 14:57:07.139834
2017-10-04 14:57:07.173836
2017-10-04 14:57:07.207838
2017-10-04 14:57:07.239840
2017-10-04 14:57:07.273842
2017-10-04 14:57:07.306844
2017-10-04 14:57:07.339846
2017-10-04 14:57:07.373848
2017-10-04 14:57:07.406849
2017-10-04 14:57:07.440851
2017-10-04 14:57:07.473853
2017-10-04 14:57:07.507855
2017-10-04 14:57:07.540857
2017-10-04 14:57:07.582860
2017-10-04 14:57:07.609861
2017-10-04 14:57:07.641863
2017-10-04 14:57:07.674865
2017-10-04 14:57:07.707867
2017-10-04 14:57:07.740869
2017-10-04 14:57:07.774871
2017-10-04 14:57:07.807872
2017-10-04 14:57:07.840874
2017-10-04 14:57:07.874876
2017-10-04 14:57:07.907878
2017-10-04 14:57:07.940880
2017-10-04 14:57:07.974882
2017-10-04 14:57:08.007884
2017-10-04 14:57:08.040886
2017-10-04 14:57:08.075888
2017-10-04 14:57:08.107890
2017-10-04 14:57:08.140891
2017-10-04 14:57:08.174893
2017-10-04 14:57:08.207895
2017-10-04 14:57:08.240897
2017-10-04 14:57:08.274899
2017-10-04 14:57:08.311901
2017-10-04 14:57:08.344903
2017-10-04 14:57:08.375905
2017-10-04 14:57:08.409907
2017-10-04 14:57:08.441909
2017-10-04 14:57:08.474911
2017-10-04 14:57:08.508913
2017-10-04 14:57:08.541914
2017-10-04 14:57:08.575916
2017-10-04 14:57:08.609918
2017-10-04 14:57:08.641920
2017-10-04 14:57:08.674922
2017-10-04 14:57:08.708924
2017-10-04 14:57:08.741926
2017-10-04 14:57:08.774928
2017-10-04 14:57:08.809930
2017-10-04 14:57:08.841932
2017-10-04 14:57:08.877934
2017-10-04 14:57:08.909935
2017-10-04 14:57:08.941937
2017-10-04 14:57:08.976939
2017-10-04 14:57:09.010941
2017-10-04 14:57:09.042943
2017-10-04 14:57:09.075945
2017-10-04 14:57:09.109947
2017-10-04 14:57:09.141949
2017-10-04 14:57:09.175951
2017-10-04 14:57:09.209953
2017-10-04 14:57:09.242955
2017-10-04 14:57:09.275956
2017-10-04 14:57:09.310958
2017-10-04 14:57:09.342960
2017-10-04 14:57:09.378962
2017-10-04 14:57:09.410964
2017-10-04 14:57:09.442966
2017-10-04 14:57:09.478968
2017-10-04 14:57:09.511970
2017-10-04 14:57:09.543972
2017-10-04 14:57:09.580974
2017-10-04 14:57:09.611976
2017-10-04 14:57:09.643977
2017-10-04 14:57:09.680980
2017-10-04 14:57:09.710981
2017-10-04 14:57:09.743983
2017-10-04 14:57:09.779985
2017-10-04 14:57:09.811987
2017-10-04 14:57:09.845989
2017-10-04 14:57:09.875991
2017-10-04 14:57:09.912993
2017-10-04 14:57:09.944995
2017-10-04 14:57:09.990997
2017-10-04 14:57:10.011999
2017-10-04 14:57:10.044000
2017-10-04 14:57:10.080002
2017-10-04 14:57:10.111004
2017-10-04 14:57:10.145006
2017-10-04 14:57:10.182008
2017-10-04 14:57:10.214010
2017-10-04 14:57:10.246012
2017-10-04 14:57:10.280014
2017-10-04 14:57:10.312016
2017-10-04 14:57:10.345018
2017-10-04 14:57:10.383020
2017-10-04 14:57:10.412021
2017-10-04 14:57:10.445023
2017-10-04 14:57:10.494026
2017-10-04 14:57:10.512027
2017-10-04 14:57:10.544029
2017-10-04 14:57:10.580031
2017-10-04 14:57:10.610033
2017-10-04 14:57:10.644035
2017-10-04 14:57:10.693037
2017-10-04 14:57:10.711038
2017-10-04 14:57:10.744040
2017-10-04 14:57:10.781042
2017-10-04 14:57:10.810044
2017-10-04 14:57:10.844046
2017-10-04 14:57:10.881048
2017-10-04 14:57:10.911050
2017-10-04 14:57:10.944052
2017-10-04 14:57:10.981054
2017-10-04 14:57:11.011056
2017-10-04 14:57:11.044058
2017-10-04 14:57:11.095060
2017-10-04 14:57:11.111061
2017-10-04 14:57:11.144063
2017-10-04 14:57:11.194066
2017-10-04 14:57:11.211067
2017-10-04 14:57:11.244069
2017-10-04 14:57:11.297072
2017-10-04 14:57:11.311073
2017-10-04 14:57:11.344075
2017-10-04 14:57:11.381077
2017-10-04 14:57:11.411079
2017-10-04 14:57:11.445080
2017-10-04 14:57:11.480082
2017-10-04 14:57:11.511084
2017-10-04 14:57:11.545086
2017-10-04 14:57:11.584088
2017-10-04 14:57:11.613090
2017-10-04 14:57:11.645092
2017-10-04 14:57:11.680094
2017-10-04 14:57:11.712096
2017-10-04 14:57:11.745098
2017-10-04 14:57:11.788100
2017-10-04 14:57:11.816102
2017-10-04 14:57:11.845103
2017-10-04 14:57:11.880105
2017-10-04 14:57:11.912107
2017-10-04 14:57:11.945109
2017-10-04 14:57:12.004112
2017-10-04 14:57:12.014113
2017-10-04 14:57:12.045115
2017-10-04 14:57:12.084117
2017-10-04 14:57:12.113119
2017-10-04 14:57:12.145121
2017-10-04 14:57:12.182123
2017-10-04 14:57:12.212124
2017-10-04 14:57:12.246126
2017-10-04 14:57:12.288129
2017-10-04 14:57:12.316130
2017-10-04 14:57:12.346132
2017-10-04 14:57:12.408136
2017-10-04 14:57:12.424136
2017-10-04 14:57:12.446138
2017-10-04 14:57:12.496141
2017-10-04 14:57:12.512142
2017-10-04 14:57:12.546143
2017-10-04 14:57:12.582146
2017-10-04 14:57:12.613147
2017-10-04 14:57:12.646149
2017-10-04 14:57:12.682151
2017-10-04 14:57:12.712153
2017-10-04 14:57:12.746155
2017-10-04 14:57:12.794158
2017-10-04 14:57:12.814159
2017-10-04 14:57:12.847161
2017-10-04 14:57:12.884163
2017-10-04 14:57:12.913164
2017-10-04 14:57:12.946166
2017-10-04 14:57:12.982168
2017-10-04 14:57:13.013170
2017-10-04 14:57:13.046172
